name,amount
TORTIE,523
SL LYNX PT,3
GOLD,90
ORG TABBY,656
SLVR TIGER,19
UNKNOWN,195
YELLOW,163
BLUE PT,8
TORTI,2
BLACK,5430
SLVR TABBY,19
BLK TIGER,48
BRN TABBY,1140
BLUE TICK,7
WHITE,2224
EMPTY,2
BLUE SMOKE,1
BLUE TABBY,1
BROWN,2079
BLK TABBY,308
ORG TIGER,71
GRAY TABBY,642
BR BRINDLE,460
CHOCOLATE,160
TORTIE PT,15
BLUE CREAM,3
RED,367
BL BRINDLE,113
ORANGE,378
BRINDLE,2
TAN,910
LILAC PT,12
BUFF,205
FAWN,137
PINK,16
SEAL PT,58
CHOC PT,24
GRAY,1665
APRICOT,20
MAHOGANY,1
TRICOLOR,478
SILVER,51
CALICO PT,4
BEIGE,1
SABLE,23
BLONDE,4
CRM TABBY,25
CALICO,489
BRN TIGER,130
RED MERLE,11
BLUE,162
LYNX PT,43
BLK SMOKE,30
FLAME PT,25
GRAY TIGER,160
MERLE,1
BLUE MERLE,31
LIVER,4
GREEN,6
BRN MERLE,24
BLUE TIGER,1
RUDDY,1
CREAM,188
