name,amount
38.0625,29
36.0793,3
35.4599,1
38.0961,1333
38.5448,5
38.2379,1
38.2547,241
39.0784,1
37.7043,1
39.2426,2
38.2081,4
41.0943,1
38.2529,73
36.2641,3
35.2697,1
37.9059,2
39.0629,1
36.3546,1
35.8602,6
41.9198,1
42.6835,1
37.655,4
37.9731,1
38.4955,1
37.9348,1
38.2791,54
40.2959,1
38.3351,21
37.8825,1
39.4312,1
37.9182,2
38.2372,66
37.5665,3
38.2307,448
38.1906,452
37.8268,3
39.7074,1
37.4798,2
38.3091,27
36.0551,3
35.6198,1
38.3129,5
36.8465,1
38.2663,834
38.215,252
37.8111,3
35.7029,2
35.3046,1
38.2589,167
38.4576,1
38.2188,442
38.605,6
38.8606,1
38.5593,1
38.0873,6
36.2403,1
38.8765,1
38.3877,7
EMPTY,1486
38.5976,5
38.9973,1
40.4773,2
38.0454,39
38.3458,4
39.7868,2
38.5445,2
39.8975,1
38.1919,3809
38.5781,1
38.1061,349
37.9979,97
39.844,1
38.3039,17
38.7293,1
47.7405,1
38.0079,1
35.3991,1
38.4538,1
37.9343,1
35.8133,3
39.4594,1
38.2163,265
38.5344,15
38.1417,683
36.0984,1
39.6016,2
35.8966,2
38.499,1
38.8964,1
39.902,1
38.2481,467
37.8955,4
39.6511,2
38.1861,431
38.4739,6
39.7976,1
37.8251,1
38.2575,152
39.9609,1
48.0971,1
37.1438,1
38.2414,672
37.8574,1
37.8285,11
35.4591,2
38.4078,48
38.3509,43
35.4614,1
38.2651,134
36.1513,6
28.9306,1
45.5142,3
37.9237,2
37.5935,1
39.934,3
27.7879,1
37.7689,1
38.3081,2
39.2848,1
38.046,42
37.9378,1
41.3977,1
37.5964,1
38.3007,2
37.0106,2
40.8407,1
39.7653,1
38.2709,164
39.7196,1
37.6002,2
38.492,10
39.795,1
38.4006,1
37.8493,7
37.9286,5
38.3636,1
39.076,1
37.4566,1
38.1609,1202
39.1044,1
39.8373,2
38.1889,1473
38.1376,243
33.035,2
36.0133,3
37.8811,8
38.3056,122
27.9112,1
37.5659,1
37.9521,1
38.412,6
38.3038,36
37.3094,2
37.3308,1
38.0585,1
38.2115,9
39.1602,1
38.9839,2
38.1938,671
38.3869,1
38.0856,890
38.1828,28
38.2386,239
38.3748,2
38.1416,834
38.1472,445
36.1808,1
37.6687,2
37.998,24
38.7872,7
38.1053,1
38.3665,1
40.832,1
39.7751,1
37.2919,1
36.0074,1
25.6371,1
38.2229,200
38.3703,7
38.2108,6
37.9151,10
35.2388,1
