name,amount
-85.8638,683
-84.1026,1
-86.763,1
-85.6221,252
-88.7391,1
-85.7536,349
-86.2825,1
-85.8291,1
-86.7792,1
-86.8252,1
-86.3249,1
-83.0697,1
-85.9736,1
-85.2124,2
-84.3887,1
-86.0538,2
-85.3877,1
-85.6004,43
-117.439,1
-87.0357,1
-86.5285,2
-76.3186,1
-85.4324,28
-85.7514,73
-85.9079,1
-85.6683,2
-85.4584,21
-85.2774,1
-85.656,1
-88.4971,1
-87.8641,1
-85.5917,445
-84.6607,1
-77.6495,1
-85.4508,1
-123.406,1
-85.3612,6
-85.6513,152
-80.3164,1
-82.9296,1
-96.8049,2
-86.2109,2
-86.3648,6
-86.3312,1
-82.8778,1
-87.5606,1
-85.7145,3
-85.891,4
-86.0129,1
-90.2517,1
-82.4793,3
-85.5707,6
-81.7358,1
EMPTY,1486
-85.3384,1
-84.5294,1
-85.7665,467
-85.3803,7
-94.5967,1
-81.9381,1
-85.9924,1
-85.967,2
-88.9959,2
-85.6274,243
-86.0425,1
-86.7188,1
-85.9016,1
-82.2451,1
-86.3073,2
-85.7737,5
-86.3138,8
-82.5414,1
-84.644,2
-84.5078,1
-85.9229,1
-85.713,431
-86.2927,1
-85.9807,2
-122.601,3
-85.0661,1
-86.5627,3
-85.739,265
-85.2166,9
-85.1718,15
-85.8546,1
-85.7762,1202
-85.7025,241
-87.5038,1
-85.7867,448
-85.4832,164
-84.5345,1
-85.6967,97
-86.4243,2
-86.1295,1
-86.1183,1
-85.9662,4
-86.0948,5
-89.9813,2
-85.4904,5
-86.1443,10
-77.5627,1
-86.2646,1
-85.5547,42
-85.6573,671
-85.7033,1
-85.8,834
-85.7263,239
-85.7841,3787
-85.5842,122
-85.3643,39
-85.6544,1
-86.3513,2
-85.9445,24
-85.6833,200
-85.1721,7
-86.1273,2
-82.6804,1
-85.6132,134
-90.6533,1
-84.5453,2
-85.6822,834
-84.4611,1
-85.7624,442
-85.8314,1473
-84.5077,1
-85.5366,66
-84.6504,1
-85.753,22
-86.7418,1
-85.4871,2
-84.4535,1
-86.1298,4
-85.7679,17
-86.3531,2
-85.3876,1
-86.7057,3
-85.9683,1
-85.9389,11
-85.1623,1
-85.4616,3
-88.305,1
-85.2826,2
-85.5904,54
-86.693,4
-85.8599,1333
-86.3487,1
-84.4513,1
-85.9177,1
-85.864,1
-86.2255,1
-86.0893,6
-85.5557,167
-86.8924,2
-85.9914,1
-86.4614,2
-85.8252,36
-85.2515,1
-86.3541,6
-86.4455,3
-85.7356,29
-86.8559,6
-85.3848,48
-85.7327,7
-86.6478,3
-86.0069,3
-84.9957,1
-85.5535,452
-85.3389,5
-73.9415,1
-85.7204,27
-80.2092,1
-85.8118,672
-85.767,6
-89.357,2
-86.1084,1
-85.4722,10
-86.7912,1
-85.1615,1
-86.0253,2
-85.7594,7
-86.7258,3
-84.0784,1
-85.6698,890
