name,amount
40224,4
40227,2
40221,1
40220,252
40223,167
40222,134
40150,7
40229,890
40228,243
40155,1
47122,2
47126,5
47124,1
47129,17
21160,1
75093,2
40390,1
45644,1
37366,1
44129,1
45431,1
45248,1
0,1
40253,2
37209,6
40004,3
40256,2
40006,5
40258,683
40008,2
63764,2
37086,3
46229,1
99208,1
20169,1
40232,2
46240,1
70272,1
45231,2
45230,1
47136,1
47130,27
40148,3
40012,2
40013,5
40010,1
40011,15
46234,1
37128,3
40014,21
40015,1
40019,7
37211,3
40203,467
40202,73
40201,4
40200,1
40207,152
40206,241
40205,200
40204,239
33713,1
40209,22
40208,442
46259,2
32159,1
47140,2
47143,6
46808,1
47144,1
EMPTY,1421
20213,1
37027,1
46231,1
40107,1
38401,1
42420,1
42351,2
40146,8
37130,6
42748,3
33158,1
37356,1
42101,2
40026,6
40023,28
40216,1473
40020,1
46268,1
40218,671
40219,834
40214,1202
40215,3787
40047,42
40217,265
40210,448
40211,672
40212,834
40213,431
38069,2
47150,36
10032,1
42348,1
37215,1
37037,2
47012,1
42343,4
42431,1
47220,1
37129,2
40031,48
40033,1
40269,2
47165,1
47163,2
47161,5
40059,43
40056,2
40057,1
40055,1
40265,1
46254,1
63111,1
40511,1
40515,1
46941,1
40295,4
46062,1
28704,1
40291,445
40292,2
46226,2
40299,452
37087,1
47250,7
40121,4
40127,1
45202,1
40125,3
97215,3
40195,1
46143,2
42724,2
46222,2
37327,1
47172,7
40068,1
41042,2
40185,2
37115,3
40272,1333
40270,1
40271,2
40067,6
40277,1
40065,9
45240,1
48042,1
40259,2
40505,1
42754,2
61701,2
40503,1
37206,1
46077,1
26201,1
64145,1
62878,1
37379,1
47106,1
40119,2
40118,349
40117,10
471307,1
42740,1
47167,6
41075,1
40175,3
40177,24
40176,1
40279,1
60174,1
42784,1
46201,1
42701,1
43015,1
42011,4
37013,3
23229,1
40108,1
40109,29
40741,1
33594,1
40104,6
40242,54
62411,1
40165,97
40160,11
37091,1
62708,1
47112,4
47111,1
98362,1
42211,1
47119,4
42304,1
63304,1
4019,1
43008,3
43241,1
42765,1
40245,164
40077,10
40243,66
40071,39
40241,122
37072,1
40772,6
